Offset(P)            #Ptr   #Hnd Access Name
0x00009a07841fd5b0  32746      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\ScenariosSqlStore\EventStore.db
0x00009a07841fd740      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DWrite.dll
0x00009a07841fdbf0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.UI.Immersive.dll
0x00009a07841fdd80     15      0 R--r-d \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Platform\4.18.2107.4-0\MpRtp.dll
0x00009a07841fe3c0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dmcmnutils.dll
0x00009a07841fe550     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\Windows.Media.Audio.dll
0x00009a07841fea00      1      0 RW-rwd \Device\HarddiskVolume2\$CachedWriteThrough
0x00009a07841fed20  32764      1 ------ \Device\Afd\Endpoint
0x00009a07841feeb0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\sysmain.dll.mui
0x00009a0784302790      4      0 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeui.ttf
0x00009a0784302ab0  32769      1 R--rwd \Device\HarddiskVolume2᧺
0x00009a0784302c40      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.UI.Xaml.InkControls.dll
0x00009a07843030f0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.UI.Xaml.Controls.dll
0x00009a0784303a50     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.UI.Xaml.Maps.dll
0x00009a0784303be0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\TextShaping.dll
0x00009a0784304090     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a0784304220  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\msedge_100_percent.pak
0x00009a0784304540     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\directmanipulation.dll
0x00009a07843046d0  32783      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\InputSwitch.dll.mui
0x00009a07843049f0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.UI.Xaml.Phone.dll
0x00009a0784305350      2      0 R--r-- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\CryptnetUrlCache\MetaData\57C8EDB95DF3F0AD4EE2DC2B8CFD4157
0x00009a07843054e0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\repdrvfs.dll
0x00009a0784305b20      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07843062f0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NetworkUXBroker.dll
0x00009a07843067a0     14      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Definition Updates\{40922604-6C2E-4EA9-82E6-AEB63460AFEA}\mpavbase.vdm
0x00009a0784306ac0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a0784306c50     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a0784307100  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-SMBServer%4Audit.evtx
0x00009a07843075b0  32791      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx
0x00009a0784307740  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-SMBServer%4Security.evtx
0x00009a07843078d0  32764      1 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\Sideload
0x00009a0784307a60  32761      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx
0x00009a0784307d80  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x00009a0784308230  32794      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-SMBServer%4Operational.evtx
0x00009a0784308870  32765      1 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb.jfm
0x00009a0784308a00  32749      1 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0x00009a07843091d0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a0784309360  32749      1 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x00009a0784309810      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07843099a0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078430a300     14      0 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x00009a078430a620  32765      1 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb.jfm
0x00009a078430aad0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078430b750     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078430c0b0  32704      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\TenantStorage\P-ARIA\EventStore.db-shm
0x00009a078430ca10     19      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078430d500  32733      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\EventStore.db-shm
0x00009a078430de60  32760      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\ScenariosSqlStore\EventStore.db-wal
0x00009a078430e4a0  32739      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\TenantStorage\P-ARIA\EventStore.db
0x00009a078430e630  32764      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Diagnosis\TenantStorage\P-ARIA\EventStore.db-wal
0x00009a078430f120  32756      1 ------ \Device\Afd\Endpoint
0x00009a078430f440      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\AudioEng.dll
0x00009a078430f760  32766      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-b60-0
0x00009a0784310250      1      1 R--rw- \Device\HarddiskVolume2\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x00009a0784310d40     15      0 R--r-d \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Platform\4.18.2107.4-0\en-US\mpasdesc.dll.mui
0x00009a07843119c0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Clipc.dll
0x00009a0784313900      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssrch.dll
0x00009a0784313c20     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07843140d0  32790      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-HelloForBusiness%4Operational.evtx
0x00009a0784314bc0     13      0 R--rwd \Device\HarddiskVolume2\Windows\System32\WMALFXGFXDSP.dll
0x00009a0784314ee0  32768      1 RW-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Local Storage\leveldb\LOCK
0x00009a0784316b00  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\msedge_200_percent.pak
0x00009a07843180e0  32767      1 ------ \Device\Afd\Endpoint
0x00009a07843193a0  32766      1 RW-r-d \Device\HarddiskVolume2\Windows\System32\SleepStudy\ScreenOn\ScreenOnPowerStudyTraceSession-2021-09-07-07-25-00.etl
0x00009a0784319850     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\srumapi.dll
0x00009a0784319d00     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncuprov.dll
0x00009a078431ab10     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\energyprov.dll
0x00009a078431b150  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x00009a078431b600     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\aepic.dll
0x00009a078431b790  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4FirewallDiagnostics.evtx
0x00009a078431b920      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\EdgeContent.dll
0x00009a078431bdd0  32765      1 R--r-d \Device\HarddiskVolume2\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\Cortana.Internal.Search.winmd
0x00009a078431c0f0     19      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078431c730  32392      1 RW---- \Device\HarddiskVolume2\Windows\appcompat\Programs\Amcache.hve
0x00009a078431c8c0      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078431cbe0  32769      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx
0x00009a078431d3b0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a078431d9f0     14      0 R--rwd \Device\HarddiskVolume2\Windows\System32\audiodg.exe
0x00009a078431db80     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\ieproxy.dll
0x00009a078431e350      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\StructuredQuery.dll
0x00009a078431e4e0  32766      1 ------ \Device\DeviceApi\Dev\Query
0x00009a078431f7a0     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\mfcore.dll
0x00009a07843205b0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\thumbcache.dll
0x00009a07843208d0     16      0 R--rwd \Device\HarddiskVolume2\Windows\System32\AUDIOKSE.dll
0x00009a0784320d80  32784      1 -W-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Service Worker\Database\LOG
0x00009a0784487ad0      1      1 R--rw- \Device\HarddiskVolume2\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x00009a078448f960     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\LicenseManagerSvc.dll
0x00009a078449b800     11      0 R--rwd \Device\HarddiskVolume2\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApi.CppWinrt.dll
0x00009a07845a3bc0     16      0 RW-rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x00009a07845a9340  32675      1 ------ \Device\DeviceApi\CMApi
0x00009a07845a9980     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\defragsvc.dll
0x00009a07845a9b10     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DataExchange.dll
0x00009a07845aa150  32074      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd
0x00009a07845aa600      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\comuid.dll
0x00009a07845aa790  32781      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\SpotifyAB.SpotifyMusic_zpdnekdrzrea0\LocalCache\Spotify\Browser\Cache\data_1
0x00009a07845aa920      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wbemess.dll
0x00009a07845aac40     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe
0x00009a07845ab5a0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07845ab730      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\usbmon.dll
0x00009a07845abbe0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_powershell_exe
0x00009a07845ac090     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\filemgmt.dll
0x00009a07845ac220  32782      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wscui.cpl.mui
0x00009a07845ac3b0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.System.Diagnostics.dll
0x00009a07845ac6d0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\cimwin32.dll
0x00009a07845ac9f0     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\MFCaptureEngine.dll
0x00009a07845acea0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncryptsslp.dll
0x00009a07845ad1c0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ExplorerFrame.dll
0x00009a07845ad670     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07845ad800     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\framedynos.dll
0x00009a07845ade40  30769      1 ------ \Device\Afd\Endpoint
0x00009a07845ae480  32626      1 ------ \Device\Afd\Endpoint
0x00009a07845ae930      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\secur32.dll
0x00009a07845aec50     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dssenh.dll
0x00009a07845aede0  32767      1 RWDrw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Temp\ee9f17a5-6e66-4c9b-80a3-8da466a2ccc8.tmp
0x00009a07845af100     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncryptprov.dll
0x00009a07845af5b0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\LocationFrameworkInternalPS.dll
0x00009a07845afbf0     16      0 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\GPUCache\data_2
0x00009a07845b0230     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\SensorsApi.dll
0x00009a07845b06e0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07845b0d20      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mskeyprotect.dll
0x00009a07845b1360     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\dmcsps.dll
0x00009a07845b14f0  32766      1 ------ \Device\DeviceApi\Dev\Query
0x00009a07845b19a0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cscapi.dll
0x00009a07845b1b30  32765      1 R--rw- \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\icudtl.dat
0x00009a07845b1cc0      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\svchost.exe
0x00009a07845b2170  32766      1 RW---- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat.LOG1
0x00009a07845b2300  32725      1 ------ \Device\NamedPipe\LOCAL\crashpad_3652_JXJHTYSBBVEVZZUX
0x00009a07845b27b0     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\msfeeds.dll
0x00009a07845b2940     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\NetworkStatus.dll
0x00009a07845b2ad0  32668      1 ------ \Device\DeviceApi\CMApi
0x00009a07845b2df0  32768      1 RW---- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat.LOG2
0x00009a07845b3110     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\hgcpl.dll
0x00009a07845b3430     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\hnetcfg.dll
0x00009a07845b3750      1      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00009a07845b3d90  32765      1 R--rw- \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\v8_context_snapshot.bin
0x00009a07845b43d0  32784      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\win32spl.dll.mui
0x00009a07845b46f0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wmipcima.dll
0x00009a07845b4a10     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\mssvp.dll
0x00009a07845b4d30  32756      1 RW---- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat
0x00009a07845b5690     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\scrrun.dll
0x00009a07845b5820  32770      1 RW-rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\BrowserMetrics\BrowserMetrics-61377DA2-E44.pma
0x00009a07845b59b0     10      0 R--rwd \Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\ink\InkObj.dll
0x00009a07845b5b40     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\AdaptiveCards.dll
0x00009a07845b5e60  32767      1 RWDrw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Temp\de98c356-5e8a-4d4e-bcf8-d70ca0674a36.tmp
0x00009a07845b64a0  32772      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-WMI-Activity%4Operational.evtx
0x00009a07845b6630     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\VAN.dll
0x00009a07845b6950      6      0 R--rwd \Device\HarddiskVolume2\Windows\System32\SettingsHandlers_nt.dll
0x00009a07845b6c70     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\inetcomm.dll
0x00009a07845b7440     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\dot3mm.dll
0x00009a07845b75d0  32768      1 ------ \Device\DeviceApi\CMNotify
0x00009a07845b7da0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\SystemSettingsBroker.exe
0x00009a07845b8250      5      0 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeuil.ttf
0x00009a07845b8570  32767      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\Locales\en-US.pak
0x00009a07845b8890  32767      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\msedge_100_percent.pak
0x00009a07845b8a20  32694      1 ------ \Device\Afd\Endpoint
0x00009a07845b8d40     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\dmdskmgr.dll
0x00009a07845b8ed0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\WMADMOE.DLL
0x00009a07845b91f0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\coreaudiopolicymanagerext.dll
0x00009a07845b96a0  65553      3 R--rwd \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Assets\Standard.targetsize-16_contrast-white.png
0x00009a07845b9830     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\WUDFx.dll
0x00009a07845b9ce0     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\NetSetupShim.dll
0x00009a07845b9e70     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\imapi2fs.dll
0x00009a07845ba190  32767      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\msedge_200_percent.pak
0x00009a07845ba4b0     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\scrobj.dll
0x00009a07845ba7d0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\unenrollhook.dll
0x00009a07845ba960  32767      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\resources.pak
0x00009a07845bb2c0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\COLORCNV.DLL
0x00009a07845bb5e0  32766      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_1
0x00009a07845bb770     12      0 R--rwd \Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\ink\TabTip.exe
0x00009a07845bb900     13      0 R--rwd \Device\HarddiskVolume2\Windows\System32\sxshared.dll
0x00009a07845bba90  32766      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.11222800223609070900
0x00009a07845bbdb0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuuhext.dll
0x00009a07845bc0d0  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.11914814935206082472
0x00009a07845bc710     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\PortableDeviceClassExtension.dll
0x00009a07845bcbc0     10      0 R--rwd \Device\HarddiskVolume2\Windows\System32\LocationApi.dll
0x00009a07845bcd50  32765      1 ------ \Device\DeviceApi\SwDevice
0x00009a07845bcee0  32765      1 ------ \Device\DeviceApi\SwDevice
0x00009a07845bd390  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.11222800223609070900
0x00009a07845bd840  32766      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.11914814935206082472
0x00009a07845bdb60  32768      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\index
0x00009a07845bde80      1      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00009a07845be1a0  32765      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_0
0x00009a07845be4c0  32768      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_0
0x00009a07845be650  32764      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\index
0x00009a07845be970     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\VaultRoaming.dll
0x00009a07845beb00      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SettingSync.dll
0x00009a07845bec90  32767      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_1
0x00009a07845bee20  32431      1 ------ \Device\NamedPipe\lsass
0x00009a07845bf140  32769      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_2
0x00009a07845bf2d0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\updatepolicy.dll
0x00009a07845bf5f0  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x00009a07845bfaa0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\TokenBroker.dll
0x00009a07845bfdc0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\dmwappushsvc.dll
0x00009a07845c0270  32766      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_2
0x00009a07845c0400      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\devobj.dll
0x00009a07845c0590  32766      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_3
0x00009a07845c0a40     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\adsldp.dll
0x00009a07845c0ef0     11      0 R--rwd \Device\HarddiskVolume2\Windows\System32\CertPolEng.dll
0x00009a07845c1080     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6r.dll
0x00009a07845c1530     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuuhosdeployment.dll
0x00009a07845c16c0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6.dll
0x00009a07845c1850      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07845c21b0      1      0 RW-r-- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\edb.log
0x00009a07845c2340     13      0 R--rwd \Device\HarddiskVolume2\Windows\System32\LocationFrameworkPS.dll
0x00009a07845c24d0  32784      1 -W-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\LOG
0x00009a07845c2b10  32759      1 RWD--- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\edb.log
0x00009a07845c2ca0      1      0 RWD--- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\IndexedDB.edb
0x00009a07845c2e30  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_notepad_exe
0x00009a07845c32e0     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\MP4SDECD.DLL
0x00009a07845c3600     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ApplicationFrame.dll
0x00009a07845c3790  32769      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\ShaderCache\GPUCache\data_3
0x00009a07845c3920      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a07845c4280     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.Security.Authentication.OnlineId.dll
0x00009a07845c4410     13      0 R--rwd \Device\HarddiskVolume2\Windows\System32\mycomput.dll
0x00009a07845c4730     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.Web.dll
0x00009a07845c48c0     13      0 R--rwd \Device\HarddiskVolume2\Windows\System32\imgutil.dll
0x00009a07845c4be0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_Windows_ControlPanel
0x00009a07845c4d70     16      0 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Windows\Safety\shell\remote\script_325785655767390484056490918594026283942.rel.v2
0x00009a07845c5540     12      0 R--rwd \Device\HarddiskVolume2\Windows\System32\sensrsvc.dll
0x00009a07845c56d0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a07845c5860      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\certCredProvider.dll
0x00009a07845c59f0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_msconfig_exe
0x00009a07845c5b80  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_PowerShell_ISE_exe
0x00009a07845c5d10      1      0 RW-rwd \Device\HarddiskVolume2\$CachedWriteThrough
